model,MAE_train_E,MAE_train_sigma,RMSE_train_E,RMSE_train_sigma,R2_train_E,R2_train_sigma,MAE_test_E,MAE_test_sigma,RMSE_test_E,RMSE_test_sigma,R2_test_E,R2_test_sigma,RMSE_test_avg
Ridge,2.461359198352991,382.0261668163736,3.063662440019423,485.1535783850487,0.019942127430839673,0.02166823269768281,2.5581623189160645,378.4368063818181,3.1778530235306772,471.72588898312324,-0.01654121583277579,0.006308091627791557,237.45187100332697
RandomForest,2.2011885860715004,247.5939008215336,2.7440655589449285,308.73802913651167,0.21375325036110182,0.6038059649883918,2.571322183378379,379.90017349001005,3.1875394014154965,473.9454535561216,-0.02274767594134608,-0.0030649456215698923,238.56649647876856
GradientBoosting,2.0919915326735006,325.80254183455247,2.6110312519505947,414.82358240249505,0.2881409065768137,0.28475545676067193,2.6232801153605303,385.0565640006907,3.275151476001762,475.8561689468473,-0.07974240916220765,-0.011168979336981133,239.56566021142453
